Name,Ticker,Inv. Type: MF or ETF,Morningstar Category,MorningStar rating: 3 years,MorningStar rating: 5 years,MorningStar rating: 10 years,MorningStar rating: Overall,Total Return: 1 year,Total Return: 3 year,Total Return: 5 year,Total Return: 10 year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,YTD Return,Net Expense Ratio,Gross Expense Ratio,Std Dev: 3 years,Std Dev: 5 years,Std Dev: 10 years,Sharpe Ratio: 3 years,Sharpe Ratio: 5 years,Sharpe Ratio: 10 years,Cash,US Stocks,INT. Stocks,Us Bonds,Int. Bond,Others
Guggenheim SMid Cap Value Fund Institutional Class (SVUIX),SVUIX,MF,Mid-Cap Value,3.0,4.0,3.0,3.0,43.81,9.61,11.16,10.17,17.17,-7.61,17.63,32.64,1.07,-6.7,27.13,13.23,-12.9,27.81,3.81,19.19,1.03,1.09,23.9,19.41,17.25,0.47,0.67,0.61,4.02,95.17,0.1,NA,NA,0.71
WisdomTree U.S. MidCap Dividend Fund (DON),DON,ETF ,Mid-Cap Value,2.0,2.0,4.0,3.0,45.74,7.34,9.17,12.0,21.69,5.11,14.84,32.99,15.27,-0.97,20.29,14.87,-8.28,23.44,-5.4,21.48,NA,NA,24.65,19.57,16.24,0.37,0.49,0.75,NA,99.62,0.38,NA,NA,NA
iShares Russell Mid-Cap Value ETF (IWS),IWS,ETF ,Mid-Cap Value,4.0,3.0,4.0,4.0,46.83,10.9,10.8,11.99,24.46,-1.55,18.27,33.11,14.49,-4.93,19.69,13.1,-12.36,26.78,4.76,20.38,NA,NA,23.26,18.53,16.03,0.51,0.59,0.75,0.13,97.33,2.54,NA,NA,NA
iShares Morningstar Mid-Cap Value ETF (JKI),JKI,NA,NA,N/A,N/A,N/A,N/A,25.36,6.16,11.06,10.49,35.63,20.22,-2.87,17.28,41.72,11.14,-2.81,24.77,12.69,-10.77,24.4,15.85,NA,NA,24.21,19.7,16.7,0.32,0.58,0.65,NA,NA,NA,NA,NA,NA
Invesco High Yield Equity Dividend Achievers ETF (PEY),PEY,ETF ,Mid-Cap Value,3.0,3.0,5.0,4.0,49.53,10.14,10.16,13.2,20.61,8.71,6.48,30.4,17.85,2.45,31.56,8.65,-7.36,24.61,-3.76,18.58,NA,NA,21.34,17.32,14.21,0.5,0.58,0.9,NA,NA,NA,NA,NA,NA
Nuveen Mid Cap Value Fund Class R6 (FMVQX),FMVQX,MF,Mid-Cap Value,3.0,4.0,3.0,3.0,52.38,10.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.19,1.55,24.65,0.78,0.89,23.8,19.18,17.09,0.51,0.67,0.65,0.25,95.17,4.58,NA,NA,NA
Invesco S&P MidCap Low Volatility ETF (XMLV),XMLV,ETF ,Mid-Cap Value,3.0,3.0,N/A,3.0,30.81,6.6,8.63,NA,NA,NA,NA,NA,18.04,5.52,21.6,13.79,-0.19,23.82,-8.44,14.3,NA,NA,16.95,13.73,NA,0.39,0.59,NA,-0.02,98.61,1.41,NA,NA,NA
Janus Henderson Mid Cap Value Fund Class N (JDPNX),JDPNX,MF,Mid-Cap Value,3.0,3.0,2.0,3.0,34.17,7.99,8.93,NA,NA,NA,NA,26.22,9.25,-3.58,19.03,14.2,-13.17,30.57,-1.29,13.87,0.75,0.75,21.02,16.82,14.59,0.44,0.58,0.62,2.56,95.14,2.3,NA,NA,NA
Delaware Ivy Mid Cap Income Opportunities Fund Class N (IVOSX),IVOSX,MF,Mid-Cap Value,5.0,4.0,N/A,4.0,40.04,13.6,12.67,NA,NA,NA,NA,NA,NA,-3.25,22.83,12.42,-4.08,26.78,8.27,17.56,0.83,0.93,22.5,18.15,NA,0.65,0.71,NA,3.17,91.25,5.58,NA,NA,NA
Hartford MidCap Value Fund Class F (HMVFX),HMVFX,MF,Mid-Cap Value,3.0,2.0,3.0,3.0,40.6,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.41,30.93,0.62,17.09,0.82,0.82,24.12,19.42,17.54,0.44,0.57,0.61,2.32,97.07,0.61,NA,NA,NA
Lord Abbett Mid Cap Stock Fund Class F3 (LOVLX),LOVLX,MF,Mid-Cap Value,3.0,2.0,2.0,3.0,42.09,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.25,23.36,3.11,19.12,0.67,0.67,23.63,18.72,16.9,0.44,0.49,0.55,NA,97.57,2.43,NA,NA,NA
Franklin Mutual U.S. Value Fund Class R6 (FBSIX),FBSIX,MF,Mid-Cap Value,2.0,3.0,2.0,3.0,47.49,7.85,9.84,NA,NA,NA,NA,NA,1.14,-9.03,20.88,12.84,-12.11,24.93,-2.09,21.78,0.58,0.64,24.23,19.75,17.31,0.44,0.62,0.55,4.35,85.5,9.61,0.54,NA,NA
ClearBridge Select Fund Class IS (LCSSX),LCSSX,MF,Mid-Cap Growth,5.0,5.0,N/A,5.0,47.21,31.55,25.25,NA,NA,NA,NA,50.55,13.66,-3.87,4.26,39.04,10.55,33.6,58.86,19.11,1.03,1.03,23.86,19.18,NA,1.22,1.55,NA,8.49,82.16,7.47,NA,NA,1.88
Morgan Stanley Institutional Fund Trust Discovery Portfolio Class IS (MMCGX),MMCGX,MF,Mid-Cap Growth,5.0,5.0,5.0,5.0,38.91,48.41,27.16,NA,NA,NA,NA,NA,1.49,-5.73,-13.3,39.35,12.23,39.96,142.66,1.62,0.64,0.64,31.64,26.02,22.27,1.4,1.38,0.89,10.05,87.4,2.34,NA,NA,0.21
T. Rowe Price New Horizons Fund I Class (PRJIX),PRJIX,MF,Mid-Cap Growth,5.0,5.0,5.0,5.0,37.44,30.1,NA,NA,NA,NA,NA,NA,NA,NA,7.95,31.67,4.17,37.85,57.92,12.28,0.64,0.64,21.6,17.54,16.45,1.25,1.46,1.19,0.36,78.33,14.53,NA,NA,6.78
