Name,Ticker,Inv. Type: MF or ETF,Morningstar Category,MorningStar rating: 3 years,MorningStar rating: 5 years,MorningStar rating: 10 years,MorningStar rating: Overall,Total Return: 1 year,Total Return: 3 year,Total Return: 5 year,Total Return: 10 year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,YTD Return,Net Expense Ratio,Gross Expense Ratio,Std Dev: 3 years,Std Dev: 5 years,Std Dev: 10 years,Sharpe Ratio: 3 years,Sharpe Ratio: 5 years,Sharpe Ratio: 10 years,Cash,US Stocks,INT. Stocks,Us Bonds,Int. Bond,Others
Fidelity Advisor Total Bond Fund Class Z (FBKWX),FBKWX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,2.32,6.8,4.67,NA,NA,NA,NA,NA,NA,-0.34,5.85,4.38,-0.61,9.87,9.44,0.63,0.36,0.4,4.07,3.59,3.29,1.26,0.89,1.1,5.25,0.08,0.01,75.01,17.82,1.84
T. Rowe Price Total Return Fund I Class (PTKIX),PTKIX,MF,Intermediate Core-Plus Bond,4.0,N/A,N/A,4.0,3.5,7.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,0.46,10.09,8.4,1.27,0.39,0.8,4.99,NA,NA,1.06,NA,NA,-10.87,0.19,0.09,101.01,8.48,1.1
PIMCO Total Return Fund Institutional Class (PTTRX),PTTRX,MF,Intermediate Core-Plus Bond,3.0,3.0,3.0,3.0,1.02,6.06,3.92,3.75,8.83,4.16,10.36,-1.92,4.69,0.73,2.6,5.13,-0.26,8.26,8.88,-0.05,0.7,0.7,3.56,3.34,3.48,1.27,0.81,0.91,-17.61,NA,NA,83.44,25.49,8.68
PIMCO Total Return ESG Fund Institutional Class (PTSAX),PTSAX,MF,Intermediate Core-Plus Bond,3.0,3.0,3.0,3.0,1.16,6.25,3.86,3.55,9.08,3.53,9.69,-2.07,4.54,0.41,2.96,4.46,-0.78,8.94,8.97,0.06,0.96,0.96,3.82,3.5,3.5,1.22,0.77,0.84,4.29,NA,NA,64.17,28.39,3.15
Metropolitan West Total Return Bond Fund Plan Class (MWTSX),MWTSX,MF,Intermediate Core-Plus Bond,4.0,3.0,4.0,4.0,0.82,6.61,4.02,4.33,NA,NA,11.54,0.45,6.16,0.25,2.56,3.49,0.29,9.23,9.17,-0.09,0.38,0.38,3.6,3.27,2.97,1.37,0.8,1.24,-7.65,NA,NA,99.92,6.12,1.61
The Hartford Total Return Bond Fund Class F (ITBFX),ITBFX,MF,Intermediate Core-Plus Bond,4.0,4.0,4.0,4.0,1.14,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62,10.37,9.18,-0.17,0.34,0.34,4.15,3.66,3.34,1.22,0.84,1.06,2.25,NA,NA,80.98,15.92,0.84
Lord Abbett Total Return Fund Class F3 (LTROX),LTROX,MF,Intermediate Core-Plus Bond,3.0,3.0,3.0,3.0,2.55,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62,8.75,7.56,0.88,0.36,0.36,4.26,3.72,3.26,1.05,0.67,1.04,11.99,NA,NA,66.16,20.44,1.4
Lord Abbett Core Plus Bond Fund Class F3 (LOPLX),LOPLX,MF,Intermediate Core-Plus Bond,3.0,4.0,N/A,3.0,3.86,6.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,10.11,7.4,1.38,0.38,0.5,5.15,4.3,NA,0.97,0.78,NA,NA,NA,NA,76.18,21.29,2.53
Goldman Sachs Bond Fund Class R6 Shares (GSFUX),GSFUX,MF,Intermediate Core-Plus Bond,4.0,3.0,4.0,3.0,0.71,7.02,NA,NA,NA,NA,NA,NA,NA,NA,2.95,3.1,-1.46,10.59,11.7,-1.19,0.44,0.61,4.98,4.33,3.55,1.1,0.64,1.03,-13.41,NA,NA,97.15,12.92,3.34
MFS Total Return Bond Fund Class R6 (MRBKX),MRBKX,MF,Intermediate Core-Plus Bond,4.0,3.0,3.0,3.0,1.5,6.6,4.22,3.98,8.34,6.52,7.57,-0.79,5.93,-0.28,3.91,4.25,-0.93,10.05,8.94,0.12,0.36,0.44,4.86,4.16,3.53,1.04,0.66,0.97,-3.25,NA,NA,85.21,16.41,1.64
JPMorgan Core Plus Bond Fund Class R6 (JCPUX),JCPUX,MF,Intermediate Core-Plus Bond,3.0,3.0,4.0,4.0,1.85,6.26,4.18,4.18,10.35,7.0,7.32,0.42,6.39,0.35,4.25,4.32,-0.06,8.93,7.86,0.7,0.39,0.4,3.81,3.37,3.02,1.21,0.8,1.19,9.13,0.15,NA,80.67,7.43,2.61
VanEck Vectors Fallen Angel High Yield Bond ETF (ANGL),ANGL,ETF ,High Yield Bond,5.0,5.0,N/A,5.0,20.17,10.29,9.06,NA,NA,NA,NA,6.89,6.05,-3.89,25.34,9.64,-4.93,16.53,13.33,5.78,NA,NA,11.36,9.08,NA,0.79,0.89,NA,NA,NA,NA,NA,NA,NA
PGIM Short Duration High Yield Income Fund- Class R6 (HYSQX),HYSQX,MF,High Yield Bond,3.0,3.0,N/A,3.0,9.95,6.27,5.45,NA,NA,NA,NA,NA,NA,1.48,7.7,4.82,1.31,11.6,4.2,4.6,0.7,0.73,7.96,6.22,NA,0.67,0.76,NA,0.72,1.65,NA,80.05,12.43,5.16
JPMorgan High Yield Fund Class R6 (JHYUX),JHYUX,MF,High Yield Bond,3.0,3.0,3.0,3.0,12.55,6.08,5.45,5.65,14.82,2.58,14.92,7.16,2.76,-4.59,14.0,6.82,-2.71,13.64,3.0,5.88,0.59,0.61,9.42,7.47,6.92,0.57,0.71,0.75,1.28,3.37,NA,85.88,6.43,3.04
MFS High Income Fund Class R6 (MHIKX),MHIKX,MF,High Yield Bond,3.0,3.0,3.0,3.0,7.18,6.23,5.41,NA,NA,NA,NA,6.4,2.82,-3.49,13.77,6.5,-2.95,14.84,4.8,2.65,0.59,0.59,7.86,6.32,6.21,0.7,0.82,0.83,2.56,NA,0.05,82.96,12.57,1.86
MFS Global High Yield Fund Class R6 (MHOVX),MHOVX,MF,High Yield Bond,3.0,3.0,3.0,3.0,8.27,6.12,5.36,5.53,16.52,3.46,15.31,6.05,2.67,-3.7,13.32,7.47,-2.76,14.4,4.23,2.82,0.74,0.82,8.62,6.93,6.68,0.63,0.75,0.76,3.77,NA,0.25,52.37,41.12,2.48
John Hancock High Yield Fund Class R6 (JFHYX),JFHYX,MF,High Yield Bond,3.0,4.0,3.0,3.0,10.99,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,-2.8,13.79,4.59,4.52,0.57,0.58,9.91,7.89,8.26,0.56,0.73,0.59,1.28,1.54,NA,79.22,12.13,5.83
Calvert High Yield Bond Fund Class I (CYBIX),CYBIX,MF,High Yield Bond,3.0,3.0,3.0,3.0,7.67,6.2,5.2,5.48,16.5,5.94,15.4,8.55,-0.77,-2.13,12.1,6.09,-2.53,12.81,5.44,2.82,0.77,0.79,7.52,5.98,5.67,0.71,0.79,0.88,4.6,0.88,NA,82.51,10.75,1.26
Hotchkis & Wiley High Yield Fund Class Z (HWHZX),HWHZX,MF,High Yield Bond,2.0,2.0,3.0,2.0,14.3,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77,3.83,4.79,0.6,0.63,11.32,8.97,7.98,0.38,0.59,0.68,0.18,4.54,0.01,77.39,11.7,6.18
Invesco Fundamental High Yield Corporate Bond ETF (PHB),PHB,ETF ,NA,3.0,2.0,3.0,3.0,11.37,6.04,5.67,4.96,9.7,5.94,11.98,4.33,1.84,-2.62,12.78,5.11,-2.38,13.15,5.15,1.89,NA,NA,8.67,6.85,6.17,0.56,0.66,0.72,NA,NA,NA,NA,NA,NA
PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund (HYS),HYS,ETF ,High Yield Bond,2.0,2.0,2.0,2.0,14.51,5.06,5.66,5.05,NA,NA,12.22,8.26,0.5,-4.71,14.54,5.83,-0.56,9.89,2.9,3.78,NA,NA,8.63,6.78,6.09,0.45,0.68,0.74,2.36,0.34,NA,77.98,9.68,9.65
First Eagle High Income Fund Class I (FEHIX),FEHIX,MF,High Yield Bond,3.0,3.0,2.0,3.0,10.39,5.29,4.97,5.02,15.76,4.07,15.19,6.92,-0.24,-7.04,17.19,4.87,-0.43,8.93,7.32,2.6,0.79,0.79,8.14,6.49,6.71,0.53,0.76,0.69,8.81,4.36,NA,73.66,12.17,1.0
Neuberger Berman High Income Bond Fund Institutional Class (NHILX),NHILX,MF,High Yield Bond,4.0,3.0,3.0,3.0,10.2,6.73,5.62,5.57,14.71,3.12,14.64,7.57,1.51,-4.77,14.17,5.46,-2.35,13.9,6.41,3.59,0.7,0.7,9.5,7.57,7.16,0.64,0.73,0.73,6.17,NA,NA,82.29,10.11,1.44
VanEck Vectors International High Yield Bond ETF (IHY),IHY,ETF ,High Yield Bond,3.0,3.0,N/A,3.0,13.79,6.98,6.45,NA,NA,NA,NA,7.63,-3.29,-3.59,11.22,11.6,-4.59,12.78,8.59,0.45,NA,NA,10.82,8.79,NA,0.55,0.62,NA,2.29,NA,0.25,0.03,96.27,1.16
